Census Year,Total Population,Census Cost,"Average Cost Per Person
"
1790,39292.14,44377.0113,1.1294119205520494
1800,53084.83,66109.0124,1.2453465971351891
1810,72398.81,178445.0246,2.4647507963183375
1820,96338.22,208526.0216,2.164520183163027
1830,128660.2,378545.0294,2.9422076866039384
1840,170694.58,833371.0488,4.882234976646593
1850,231918.76,1423351.0614,6.137282992544458
1860,314433.21,1969377.0626,6.26326036807626
1870,385583.71,3421198.0887,8.872776520304761
1880,501557.83,5790678.1154,11.545384737389105
1890,629797.66,11547127.1833,18.33466193459658
1900,763033.87,11854000.1554,15.535352520327834
1910,919722.66,15968000.1707,17.361755739170327
1920,1057106.2,25117000.2376,23.76014844828268
1930,1227750.46,40156000.3271,32.70697233304234
1940,1316692.75,67527000.5129,51.28531353491541
1950,1513257.98,91462000.6044,60.44045484194307
1960,1793231.75,127934000.7134,71.34270331394701
1970,2033020.31,247653000.0122,121.81531035083461
1980,2265421.99,1078488000.0476,476.06494719670303
1990,2487183.01,2492830000.1002,1002.2704361028103
2000,2814219.06,450000000.1599,159.90226438161497
